행정구역,연도,구분,인구수
경기도 안산시 상록구 사동,2020,남,17288
경기도 안산시 상록구 사동,2020,남+여,33015
경기도 안산시 상록구 사동,2020,여,15727
경기도 안산시 상록구 사동,2021,남,17137
경기도 안산시 상록구 사동,2021,남+여,32603
경기도 안산시 상록구 사동,2021,여,15466
경기도 안산시 상록구 사동,2022,남,16661
경기도 안산시 상록구 사동,2022,남+여,31670
경기도 안산시 상록구 사동,2022,여,15009
경기도 안산시 상록구 사동,2023,남,15812
경기도 안산시 상록구 사동,2023,남+여,30099
경기도 안산시 상록구 사동,2023,여,14287
경기도 안산시 상록구 사동,2024,남,15435
경기도 안산시 상록구 사동,2024,남+여,29292
경기도 안산시 상록구 사동,2024,여,13857
경기도 안산시 상록구 사동,2025,남,15199
경기도 안산시 상록구 사동,2025,남+여,28799
경기도 안산시 상록구 사동,2025,여,13600
경기도 안산시 상록구 사이동,2016,남,18071
경기도 안산시 상록구 사이동,2016,남+여,35761
경기도 안산시 상록구 사이동,2016,여,17690
경기도 안산시 상록구 사이동,2017,남,17823
경기도 안산시 상록구 사이동,2017,남+여,35135
경기도 안산시 상록구 사이동,2017,여,17312
경기도 안산시 상록구 사이동,2018,남,17157
경기도 안산시 상록구 사이동,2018,남+여,33819
경기도 안산시 상록구 사이동,2018,여,16662
경기도 안산시 상록구 사이동,2019,남,16695
경기도 안산시 상록구 사이동,2019,남+여,32883
경기도 안산시 상록구 사이동,2019,여,16188
경기도 안산시 상록구 사이동,2020,남,16695
